Date,Close/Last,Volume,Open,High,Low
04/16/2021,4185.47,--,4174.14,4191.31,4170.75
04/15/2021,4170.42,--,4139.76,4173.49,4139.76
04/14/2021,4124.66,--,4143.25,4151.69,4120.87
04/13/2021,4141.59,--,4130.1,4148,4124.43
04/12/2021,4127.99,--,4124.71,4131.76,4114.82
04/09/2021,4128.8,--,4096.11,4129.48,4095.51
04/08/2021,4097.17,--,4089.95,4098.19,4082.54
04/07/2021,4079.95,--,4074.29,4083.13,4068.31
04/06/2021,4073.94,--,4075.57,4086.23,4068.14
04/05/2021,4077.91,--,4034.44,4083.42,4034.44
04/01/2021,4019.87,--,3992.78,4020.63,3992.78
03/31/2021,3972.89,--,3967.25,3994.41,3966.98
03/30/2021,3958.55,--,3963.34,3968.01,3944.35
03/29/2021,3971.09,--,3969.31,3981.83,3943.25
03/26/2021,3974.54,--,3917.12,3978.19,3917.12
03/25/2021,3909.52,--,3879.34,3919.54,3853.5
03/24/2021,3889.14,--,3919.93,3942.08,3889.07
03/23/2021,3910.52,--,3937.6,3949.13,3901.57
03/22/2021,3940.59,--,3916.48,3955.31,3914.16
03/19/2021,3913.1,--,3913.14,3930.12,3886.75
03/18/2021,3915.46,--,3953.5,3969.62,3910.86
03/17/2021,3974.12,--,3949.57,3983.87,3935.74
03/16/2021,3962.71,--,3973.59,3981.04,3953.44
03/15/2021,3968.94,--,3942.96,3970.08,3923.54
03/12/2021,3943.34,--,3924.52,3944.99,3915.21
03/11/2021,3939.34,--,3915.54,3960.27,3915.54
03/10/2021,3898.81,--,3891.99,3917.35,3885.73
03/09/2021,3875.44,--,3851.93,3903.76,3851.93
03/08/2021,3821.35,--,3844.39,3881.06,3819.25
03/05/2021,3841.94,--,3793.58,3851.69,3730.19
03/04/2021,3768.47,--,3818.53,3843.67,3723.34
03/03/2021,3819.72,--,3863.99,3874.47,3818.86
03/02/2021,3870.29,--,3903.64,3906.41,3868.57
03/01/2021,3901.82,--,3842.51,3914.5,3842.51
02/26/2021,3811.15,--,3839.66,3861.08,3789.54
02/25/2021,3829.34,--,3915.8,3925.02,3814.04
02/24/2021,3925.43,--,3873.71,3928.65,3859.6
02/23/2021,3881.37,--,3857.07,3895.98,3805.59
02/22/2021,3876.5,--,3885.55,3902.92,3874.71
02/19/2021,3906.71,--,3921.16,3930.41,3903.07
02/18/2021,3913.97,--,3915.86,3921.98,3885.03
02/17/2021,3931.33,--,3918.5,3933.61,3900.43
02/16/2021,3932.59,--,3939.61,3950.43,3923.85
